sdp_group_filename,hash_id,dc_name,year,month,received_ts_rai,received_ts_quar,status_3_on_time,status_4_schema_failed,status_5_quar_scope,status_6_quar_time,status_7_dq_records,status_8_bus_approved,status_9_reached_gold,insp_record_count
20250924000000__shv__csrd_ref__dim_life_saving_rules,2025_09_dataContract__shv__csrd_ref__dim_life_saving_rules,dataContract__shv__csrd_ref__dim_life_saving_rules,2025,9,09/24/2025 9:38,,43,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20250924000000__shv__csrd_ref__dim_severe_injury_fatality,2025_09_dataContract__shv__csrd_ref__dim_severe_injury_fatality,dataContract__shv__csrd_ref__dim_severe_injury_fatality,2025,9,09/24/2025 10:14,,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,
20250924000000__shv__csrd_ref__dim_site,2025_09_dataContract__shv__csrd_ref__dim_site,dataContract__shv__csrd_ref__dim_site,2025,9,,09/24/2025 11:34,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20250924000000__shv__csrd_ref__dim_workforce_category,2025_09_dataContract__shv__csrd_ref__dim_workforce_category,dataContract__shv__csrd_ref__dim_workforce_category,2025,9,09/24/2025 11:15,,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,
20250924000001__shv__csrd_ref__dim_site,2025_09_dataContract__shv__csrd_ref__dim_site,dataContract__shv__csrd_ref__dim_site,2025,9,09/24/2025 12:17,09/24/2025 12:08,239,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20250930203512__shv__csrd_esg_soc__health_safety,2025_09_dataContract__shv__csrd_esg_soc__health_safety,dataContract__shv__csrd_esg_soc__health_safety,2025,9,01/15/2026 14:33,,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,
20250930203512__shv__csrd_esg_soc__psif,2025_09_dataContract__shv__csrd_esg_soc__psif,dataContract__shv__csrd_esg_soc__psif,2025,9,01/15/2026 16:08,03/24/2026 14:13,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,
20250930203512__shv__csrd_hs__esg_hs,2025_09_dataContract__shv__csrd_hs__esg_hs,dataContract__shv__csrd_hs__esg_hs,2025,9,10/02/2025 12:18,,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,
20250930203512__shv__csrd_hs__esg_hs.csv,2025_09_dataContract__shv__csrd_hs__esg_hs.csv,dataContract__shv__csrd_hs__esg_hs.csv,2025,9,10/02/2025 8:06,,3,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20250930203512__shv__csrd_hs__esg_psif,2025_09_dataContract__shv__csrd_hs__esg_psif,dataContract__shv__csrd_hs__esg_psif,2025,9,10/02/2025 12:19,,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,
20250930203512__shv__csrd_hs__esg_psif.csv,2025_09_dataContract__shv__csrd_hs__esg_psif.csv,dataContract__shv__csrd_hs__esg_psif.csv,2025,9,10/02/2025 8:06,,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251006144522__shvenergy__csrd_hs__esg_hs,2025_10_dataContract__shvenergy__csrd_hs__esg_hs,dataContract__shvenergy__csrd_hs__esg_hs,2025,10,10/08/2025 12:54,,49,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251006144546__shvenergy__csrd_hs__esg_psif,2025_10_dataContract__shvenergy__csrd_hs__esg_psif,dataContract__shvenergy__csrd_hs__esg_psif,2025,10,10/08/2025 12:38,,45,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251006144610__shvenergy__csrd_hs__esg_injuries,2025_10_dataContract__shvenergy__csrd_hs__esg_injuries,dataContract__shvenergy__csrd_hs__esg_injuries,2025,10,10/08/2025 13:08,,84,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251009000000__shv__csrd_ref__summary_notes,2025_10_dataContract__shv__csrd_ref__summary_notes,dataContract__shv__csrd_ref__summary_notes,2025,10,10/17/2025 18:16,,16,FALSE,FALSE,FALSE,FALSE,FALSE,1,
20251009000001__shv__csrd_ref__summary_notes,2025_10_dataContract__shv__csrd_ref__summary_notes,dataContract__shv__csrd_ref__summary_notes,2025,10,12/09/2025 17:16,,16,FALSE,FALSE,FALSE,FALSE,FALSE,2,
20251013134800__mammoet__csrd_esg_soc__psif,2025_10_dataContract__mammoet__csrd_esg_soc__psif,dataContract__mammoet__csrd_esg_soc__psif,2025,10,01/15/2026 17:31,,14,FALSE,FALSE,FALSE,TRUE,FALSE,0,11
20251013134800__mammoet__csrd_hs__esg_psif,2025_10_dataContract__mammoet__csrd_hs__esg_psif,dataContract__mammoet__csrd_hs__esg_psif,2025,10,10/30/2025 9:43,,14,FALSE,FALSE,FALSE,TRUE,FALSE,3,22
20251015135500__mammoet__csrd_esg_soc__health_safety,2025_10_dataContract__mammoet__csrd_esg_soc__health_safety,dataContract__mammoet__csrd_esg_soc__health_safety,2025,10,01/15/2026 17:31,,19,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251015135500__mammoet__csrd_hs__esg_hs,2025_10_dataContract__mammoet__csrd_hs__esg_hs,dataContract__mammoet__csrd_hs__esg_hs,2025,10,10/29/2025 10:48,10/22/2025 7:58,19,TRUE,FALSE,FALSE,TRUE,FALSE,19,57
20251015135800__mammoet__csrd_esg_soc__psif,2025_10_dataContract__mammoet__csrd_esg_soc__psif,dataContract__mammoet__csrd_esg_soc__psif,2025,10,01/15/2026 17:31,,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251015135800__mammoet__csrd_hs__esg_psif,2025_10_dataContract__mammoet__csrd_hs__esg_psif,dataContract__mammoet__csrd_hs__esg_psif,2025,10,11/27/2025 14:17,,2,FALSE,FALSE,FALSE,FALSE,FALSE,2,
20251017000001__shv__csrd_ref__dim_site,2025_10_dataContract__shv__csrd_ref__dim_site,dataContract__shv__csrd_ref__dim_site,2025,10,10/17/2025 12:12,,239,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251017000002__shv__csrd_ref__dim_site,2025_10_dataContract__shv__csrd_ref__dim_site,dataContract__shv__csrd_ref__dim_site,2025,10,10/17/2025 13:37,,239,FALSE,FALSE,FALSE,FALSE,FALSE,308,
20251024000001__shv__csrd_ref__dim_site,2025_10_dataContract__shv__csrd_ref__dim_site,dataContract__shv__csrd_ref__dim_site,2025,10,10/24/2025 9:17,,239,FALSE,FALSE,FALSE,FALSE,FALSE,239,
20251024063847__nutreco__csrd_hs__esg_hs,2025_10_dataContract__nutreco__csrd_hs__esg_hs,dataContract__nutreco__csrd_hs__esg_hs,2025,10,10/24/2025 6:52,,151,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251024063847__nutreco__csrd_hs__esg_injuries,2025_10_dataContract__nutreco__csrd_hs__esg_injuries,dataContract__nutreco__csrd_hs__esg_injuries,2025,10,10/24/2025 9:10,,17,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251024063847__nutreco__csrd_hs__esg_psif,2025_10_dataContract__nutreco__csrd_hs__esg_psif,dataContract__nutreco__csrd_hs__esg_psif,2025,10,10/24/2025 6:52,,7,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251024074420__kiwa__csrd_hs__esg_hs,2025_10_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,10,10/24/2025 7:57,,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251024074420__kiwa__csrd_hs__esg_injuries,2025_10_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,10,10/24/2025 9:10,,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251024074420__kiwa__csrd_hs__esg_psif,2025_10_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,10,10/24/2025 7:57,,33,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251104035513__kiwa__csrd_hs__esg_hs,2025_11_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,11,,11/04/2025 16:05,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20251105095430__kiwa__csrd_hs__esg_hs,2025_11_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,11,11/05/2025 10:08,,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251106093923__nutreco__csrd_esg_soc__health_safety,2025_11_dataContract__nutreco__csrd_esg_soc__health_safety,dataContract__nutreco__csrd_esg_soc__health_safety,2025,11,01/15/2026 18:23,,151,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251106093923__nutreco__csrd_esg_soc__injuries,2025_11_dataContract__nutreco__csrd_esg_soc__injuries,dataContract__nutreco__csrd_esg_soc__injuries,2025,11,01/23/2026 18:19,,16,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251106093923__nutreco__csrd_esg_soc__psif,2025_11_dataContract__nutreco__csrd_esg_soc__psif,dataContract__nutreco__csrd_esg_soc__psif,2025,11,01/15/2026 18:22,,7,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251106093923__nutreco__csrd_hs__esg_hs,2025_11_dataContract__nutreco__csrd_hs__esg_hs,dataContract__nutreco__csrd_hs__esg_hs,2025,11,11/06/2025 9:51,,151,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251106093923__nutreco__csrd_hs__esg_injuries,2025_11_dataContract__nutreco__csrd_hs__esg_injuries,dataContract__nutreco__csrd_hs__esg_injuries,2025,11,11/07/2025 15:14,,16,FALSE,FALSE,FALSE,TRUE,FALSE,0,34
20251106093923__nutreco__csrd_hs__esg_psif,2025_11_dataContract__nutreco__csrd_hs__esg_psif,dataContract__nutreco__csrd_hs__esg_psif,2025,11,11/06/2025 9:52,,7,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251115135500__mammoet__csrd_esg_soc__health_safety,2025_11_dataContract__mammoet__csrd_esg_soc__health_safety,dataContract__mammoet__csrd_esg_soc__health_safety,2025,11,01/15/2026 17:32,,19,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251115135500__mammoet__csrd_hs__esg_hs,2025_11_dataContract__mammoet__csrd_hs__esg_hs,dataContract__mammoet__csrd_hs__esg_hs,2025,11,11/14/2025 10:51,,19,FALSE,FALSE,FALSE,FALSE,FALSE,19,
20251115135800__mammoet__csrd_esg_soc__psif,2025_11_dataContract__mammoet__csrd_esg_soc__psif,dataContract__mammoet__csrd_esg_soc__psif,2025,11,01/15/2026 17:31,,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251115135800__mammoet__csrd_hs__esg_psif,2025_11_dataContract__mammoet__csrd_hs__esg_psif,dataContract__mammoet__csrd_hs__esg_psif,2025,11,11/27/2025 14:16,,2,FALSE,FALSE,FALSE,TRUE,FALSE,2,7
20251115135900__mammoet__csrd_esg_soc__injuries,2025_11_dataContract__mammoet__csrd_esg_soc__injuries,dataContract__mammoet__csrd_esg_soc__injuries,2025,11,01/15/2026 17:32,,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251115135900__mammoet__csrd_hs__esg_injuries,2025_11_dataContract__mammoet__csrd_hs__esg_injuries,dataContract__mammoet__csrd_hs__esg_injuries,2025,11,11/14/2025 10:50,,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,
20251117021801__kiwa__csrd_hs__esg_hs,2025_11_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,11,,11/17/2025 14:31,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20251117021801__kiwa__csrd_hs__esg_injuries,2025_11_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,11,,11/17/2025 14:30,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20251117021801__kiwa__csrd_hs__esg_psif,2025_11_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,11,,11/17/2025 14:30,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20251117023106__kiwa__csrd_hs__esg_hs,2025_11_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,11,,11/17/2025 14:36,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20251117023106__kiwa__csrd_hs__esg_injuries,2025_11_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,11,,11/17/2025 14:36,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20251117023106__kiwa__csrd_hs__esg_psif,2025_11_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,11,,11/17/2025 14:36,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20251118103159__kiwa__csrd_hs__esg_hs,2025_11_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,11,11/18/2025 10:44,,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251118103159__kiwa__csrd_hs__esg_injuries,2025_11_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,11,11/18/2025 10:44,,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251118103159__kiwa__csrd_hs__esg_psif,2025_11_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,11,11/18/2025 10:44,,33,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251118103353__kiwa__csrd_hs__esg_hs,2025_11_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,11,11/18/2025 10:44,,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251118103353__kiwa__csrd_hs__esg_injuries,2025_11_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,11,11/18/2025 10:44,,3,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251118103353__kiwa__csrd_hs__esg_psif,2025_11_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,11,11/18/2025 10:44,,33,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251119141651__shvenergy__csrd_esg_soc__health_safety,2025_11_dataContract__shvenergy__csrd_esg_soc__health_safety,dataContract__shvenergy__csrd_esg_soc__health_safety,2025,11,01/15/2026 17:19,,972,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251119141651__shvenergy__csrd_hs__esg_hs,2025_11_dataContract__shvenergy__csrd_hs__esg_hs,dataContract__shvenergy__csrd_hs__esg_hs,2025,11,11/19/2025 14:22,,972,FALSE,FALSE,FALSE,FALSE,FALSE,972,
20251119141716__shvenergy__csrd_esg_soc__psif,2025_11_dataContract__shvenergy__csrd_esg_soc__psif,dataContract__shvenergy__csrd_esg_soc__psif,2025,11,01/15/2026 17:20,,324,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251119141716__shvenergy__csrd_hs__esg_psif,2025_11_dataContract__shvenergy__csrd_hs__esg_psif,dataContract__shvenergy__csrd_hs__esg_psif,2025,11,11/19/2025 14:22,,324,FALSE,FALSE,FALSE,FALSE,FALSE,324,
20251119141742__shvenergy__csrd_esg_soc__injuries,2025_11_dataContract__shvenergy__csrd_esg_soc__injuries,dataContract__shvenergy__csrd_esg_soc__injuries,2025,11,01/22/2026 16:27,,193,FALSE,FALSE,FALSE,TRUE,FALSE,0,372
20251119141742__shvenergy__csrd_hs__esg_injuries,2025_11_dataContract__shvenergy__csrd_hs__esg_injuries,dataContract__shvenergy__csrd_hs__esg_injuries,2025,11,11/19/2025 16:35,,193,FALSE,FALSE,FALSE,TRUE,FALSE,193,186
20251126064431__kiwa__csrd_esg_soc__health_safety,2025_11_dataContract__kiwa__csrd_esg_soc__health_safety,dataContract__kiwa__csrd_esg_soc__health_safety,2025,11,02/11/2026 14:29,,99,FALSE,FALSE,FALSE,TRUE,FALSE,0,198
20251126064431__kiwa__csrd_esg_soc__injuries,2025_11_dataContract__kiwa__csrd_esg_soc__injuries,dataContract__kiwa__csrd_esg_soc__injuries,2025,11,03/18/2026 12:28,,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251126064431__kiwa__csrd_esg_soc__psif,2025_11_dataContract__kiwa__csrd_esg_soc__psif,dataContract__kiwa__csrd_esg_soc__psif,2025,11,01/15/2026 18:07,,33,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251126064431__kiwa__csrd_hs__esg_hs,2025_11_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,11,11/26/2025 6:49,,99,FALSE,FALSE,FALSE,FALSE,FALSE,99,
20251126064431__kiwa__csrd_hs__esg_injuries,2025_11_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,11,11/26/2025 6:50,,2,FALSE,FALSE,FALSE,FALSE,FALSE,2,
20251126064431__kiwa__csrd_hs__esg_psif,2025_11_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,11,11/26/2025 6:50,,33,FALSE,FALSE,FALSE,FALSE,FALSE,33,
20251126064453__kiwa__csrd_esg_soc__health_safety,2025_11_dataContract__kiwa__csrd_esg_soc__health_safety,dataContract__kiwa__csrd_esg_soc__health_safety,2025,11,,02/11/2026 13:43,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20251126064616__kiwa__csrd_esg_soc__health_safety,2025_11_dataContract__kiwa__csrd_esg_soc__health_safety,dataContract__kiwa__csrd_esg_soc__health_safety,2025,11,01/15/2026 18:06,,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251126064616__kiwa__csrd_esg_soc__injuries,2025_11_dataContract__kiwa__csrd_esg_soc__injuries,dataContract__kiwa__csrd_esg_soc__injuries,2025,11,01/15/2026 18:06,,3,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251126064616__kiwa__csrd_esg_soc__psif,2025_11_dataContract__kiwa__csrd_esg_soc__psif,dataContract__kiwa__csrd_esg_soc__psif,2025,11,01/15/2026 18:06,,33,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251126064616__kiwa__csrd_hs__esg_hs,2025_11_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,11,11/26/2025 6:50,,99,FALSE,FALSE,FALSE,TRUE,FALSE,99,198
20251126064616__kiwa__csrd_hs__esg_injuries,2025_11_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,11,11/26/2025 6:51,,3,FALSE,FALSE,FALSE,FALSE,FALSE,3,
20251126064616__kiwa__csrd_hs__esg_psif,2025_11_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,11,11/26/2025 6:50,,33,FALSE,FALSE,FALSE,FALSE,FALSE,33,
20251215135500__mammoet__csrd_esg_soc__health_safety,2025_12_dataContract__mammoet__csrd_esg_soc__health_safety,dataContract__mammoet__csrd_esg_soc__health_safety,2025,12,01/15/2026 17:31,,19,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251215135500__mammoet__csrd_hs__esg_hs,2025_12_dataContract__mammoet__csrd_hs__esg_hs,dataContract__mammoet__csrd_hs__esg_hs,2025,12,12/15/2025 11:51,,19,FALSE,FALSE,FALSE,FALSE,FALSE,19,
20251215135800__mammoet__csrd_esg_soc__psif,2025_12_dataContract__mammoet__csrd_esg_soc__psif,dataContract__mammoet__csrd_esg_soc__psif,2025,12,01/15/2026 17:32,,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251215135800__mammoet__csrd_hs__esg_psif,2025_12_dataContract__mammoet__csrd_hs__esg_psif,dataContract__mammoet__csrd_hs__esg_psif,2025,12,12/15/2025 11:51,,2,FALSE,FALSE,FALSE,FALSE,FALSE,2,
20251215135900__mammoet__csrd_esg_soc__injuries,2025_12_dataContract__mammoet__csrd_esg_soc__injuries,dataContract__mammoet__csrd_esg_soc__injuries,2025,12,01/15/2026 17:32,,7,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251215135900__mammoet__csrd_hs__esg_injuries,2025_12_dataContract__mammoet__csrd_hs__esg_injuries,dataContract__mammoet__csrd_hs__esg_injuries,2025,12,12/15/2025 11:53,,7,FALSE,FALSE,FALSE,FALSE,FALSE,7,
20251217104143__kiwa__csrd_esg_soc__health_safety,2025_12_dataContract__kiwa__csrd_esg_soc__health_safety,dataContract__kiwa__csrd_esg_soc__health_safety,2025,12,01/15/2026 18:07,,99,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251217104143__kiwa__csrd_esg_soc__injuries,2025_12_dataContract__kiwa__csrd_esg_soc__injuries,dataContract__kiwa__csrd_esg_soc__injuries,2025,12,01/15/2026 18:06,,8,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251217104143__kiwa__csrd_esg_soc__psif,2025_12_dataContract__kiwa__csrd_esg_soc__psif,dataContract__kiwa__csrd_esg_soc__psif,2025,12,01/15/2026 18:07,,33,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251217104143__kiwa__csrd_hs__esg_hs,2025_12_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,12,12/17/2025 10:53,,99,FALSE,FALSE,FALSE,FALSE,FALSE,99,
20251217104143__kiwa__csrd_hs__esg_injuries,2025_12_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,12,12/17/2025 10:54,,8,FALSE,FALSE,FALSE,TRUE,FALSE,8,40
20251217104143__kiwa__csrd_hs__esg_psif,2025_12_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,12,12/17/2025 10:54,,33,FALSE,FALSE,FALSE,FALSE,FALSE,33,
20251218061630__nutreco__csrd_esg_soc__health_safety,2025_12_dataContract__nutreco__csrd_esg_soc__health_safety,dataContract__nutreco__csrd_esg_soc__health_safety,2025,12,01/15/2026 18:34,,152,FALSE,FALSE,FALSE,TRUE,FALSE,0,1
20251218061630__nutreco__csrd_esg_soc__injuries,2025_12_dataContract__nutreco__csrd_esg_soc__injuries,dataContract__nutreco__csrd_esg_soc__injuries,2025,12,01/23/2026 18:19,,8,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20251218061630__nutreco__csrd_esg_soc__psif,2025_12_dataContract__nutreco__csrd_esg_soc__psif,dataContract__nutreco__csrd_esg_soc__psif,2025,12,03/25/2026 10:01,03/24/2026 16:06,12,TRUE,FALSE,FALSE,FALSE,FALSE,12,
20251218061630__nutreco__csrd_hs__esg_hs,2025_12_dataContract__nutreco__csrd_hs__esg_hs,dataContract__nutreco__csrd_hs__esg_hs,2025,12,12/18/2025 6:21,,152,FALSE,FALSE,FALSE,TRUE,FALSE,151,1
