MonsterKey,ItemKey,DropRatePct,MinQty,MaxQty
36,60,32.7,3,3
36,189,25.47,1,4
36,146,35.62,1,10
36,26,21.64,1,7
36,188,55.55,2,8
36,115,59.95,1,2
36,68,44.95,1,6
37,42,20.42,2,10
37,79,44.78,3,12
37,193,33.84,3,5
37,139,36.58,3,6
37,119,13.79,1,10
37,109,11.58,1,3
37,16,41.41,3,11
37,179,12.4,1,3
37,126,33.02,2,8
37,115,50.59,3,11
37,52,49.31,3,6
37,152,78.09,1,10
37,102,32.7,1,1
37,7,27.36,1,7
37,78,70.33,1,1
38,188,56.09,3,8
38,134,15.28,2,8
38,193,22.96,1,10
38,187,44.73,3,10
38,40,18.66,2,11
38,147,9.6,3,11
38,71,48.19,1,4
38,98,25.12,1,1
38,32,8.07,3,12
38,195,41.98,1,1
38,146,61.25,2,11
38,54,8.2,1,4
38,75,35.14,1,4
39,71,40.82,1,2
39,166,17.09,2,7
39,103,45.72,1,2
39,126,36.71,1,7
39,29,41.54,2,6
39,5,64.3,2,3
39,11,13.61,2,7
39,181,21.03,2,2
39,177,41.32,3,10
39,162,48.1,3,12
39,41,34.65,3,9
39,106,57.32,1,1
40,189,67.63,3,8
40,172,14.13,3,7
40,68,30.38,2,6
40,20,31.77,3,7
40,57,53.33,2,4
40,168,10.55,1,3
40,132,15.26,3,8
40,194,41.72,2,5
41,134,12.94,3,8
41,104,19.69,1,8
41,80,10.12,1,9
41,103,36.09,1,6
41,108,19.92,3,8
41,75,21.13,1,10
41,92,15.39,1,10
41,161,36.88,3,8
41,85,15.76,2,6
41,7,19.15,3,10
41,59,27.66,3,12
41,49,4.66,3,4
41,159,34.22,3,12
41,58,71.25,3,10
42,122,66.14,2,11
42,131,18.98,2,11
42,160,33.93,3,9
42,143,44.96,1,4
42,159,67.96,2,4
42,30,10.73,2,5
42,137,30.34,3,11
42,148,18.49,2,4
42,61,10.35,1,1
42,175,26.9,3,10
42,62,6.46,2,5
42,50,12.06,3,4
42,174,16.58,1,7
43,82,35.08,2,8
43,173,37.21,2,11
43,102,64.14,1,2
43,104,12.7,2,4
43,2,42.69,2,6
43,128,21.04,1,4
43,22,20.86,1,8
43,96,11.1,2,8
43,53,44.72,2,9
43,79,24.07,2,5
43,108,20.32,1,2
43,3,42.64,1,6
43,58,33.18,2,3
43,198,61.44,2,3
44,144,5.46,3,11
44,1,16.39,3,3
44,6,36.08,2,9
44,40,29.6,2,9
44,12,13.73,2,8
44,107,6.83,3,7
44,8,25.06,2,4
44,161,22.23,1,1
44,99,17.63,1,2
45,197,20.21,2,9
45,115,56.77,3,11
45,17,25.91,2,7
45,22,6.08,1,5
45,194,31.73,2,9
45,139,21.38,3,11
45,152,12.43,1,8
45,138,32.01,3,10
45,39,24.39,2,3
45,92,38.44,2,7
45,160,29.13,3,4
45,174,33.64,3,8
45,50,22.73,3,10
46,79,32.36,3,8
46,31,37.84,1,6
46,28,19.54,2,9
46,120,42.91,2,8
46,111,8.01,1,2
46,38,1.31,1,6
47,157,15.93,3,4
47,142,35.0,2,11
47,151,32.07,3,5
47,50,6.49,3,7
47,79,36.99,3,10
48,150,21.85,2,11
48,2,20.94,1,2
48,69,33.16,1,10
48,89,50.96,1,1
48,94,6.47,2,7
48,193,2.85,1,5
48,76,48.28,2,9
48,71,22.17,3,11
48,123,51.32,1,8
48,55,19.07,3,12
49,120,28.87,1,5
49,150,25.5,3,8
49,57,26.29,1,9
49,195,14.92,1,4
49,7,37.35,2,11
49,78,50.19,1,9
49,177,18.34,2,5
49,37,37.04,1,6
49,29,12.1,3,6
49,74,68.9,1,5
49,86,32.81,1,10
49,187,34.51,1,10
49,167,27.35,2,6
49,93,46.16,1,6
50,70,50.63,3,3
50,45,45.73,1,10
50,65,18.66,2,10
50,134,16.48,2,11
50,136,30.35,2,5
50,149,51.04,1,1
50,26,5.82,2,3
50,164,47.49,1,3
50,139,7.96,3,9
50,7,37.37,1,1
50,68,32.52,3,4
50,94,19.49,2,2
51,47,17.83,1,7
51,136,7.29,2,3
51,11,18.92,2,2
51,144,65.88,1,5
51,49,18.8,2,6
51,91,8.83,3,9
51,74,53.26,3,8
51,23,22.38,1,3
51,70,35.94,3,7
51,105,0.68,3,7
51,195,4.69,3,4
51,94,10.88,3,12
51,183,83.78,1,4
51,93,12.83,1,8
51,22,35.49,3,8
52,24,69.83,3,3
52,62,11.66,2,5
52,73,20.98,2,6
52,137,14.11,1,3
52,158,22.11,2,9
52,193,24.77,3,9
52,60,12.06,3,5
52,99,31.23,3,9
52,6,38.91,3,4
52,51,18.49,3,10
52,75,34.96,1,9
52,119,6.45,2,7
52,95,15.99,3,9
53,51,29.98,3,3
53,115,79.08,1,7
53,35,39.63,1,6
53,189,42.02,2,4
53,178,25.98,3,9
53,68,24.55,3,10
53,156,57.93,2,8
53,20,32.41,2,7
53,149,52.78,3,10
53,57,17.23,1,10
53,28,10.13,1,4
54,95,12.14,1,4
54,85,29.22,2,4
54,100,63.34,3,4
54,186,16.47,2,5
54,98,35.85,2,8
54,105,74.65,2,6
55,106,50.15,1,6
55,195,25.13,1,6
55,12,11.03,2,4
55,8,21.95,1,10
55,115,26.61,1,2
55,42,21.95,1,3
55,121,10.08,3,9
55,157,59.41,1,1
55,29,47.31,3,10
55,89,30.96,3,12
55,139,33.94,1,6
55,167,23.26,1,9
55,100,19.74,2,3
56,44,36.06,3,11
56,139,19.13,3,11
56,128,18.61,2,3
56,127,10.58,2,2
56,42,19.44,2,6
56,116,4.4,3,11
56,126,75.91,3,5
56,115,25.44,3,5
56,38,31.51,1,8
56,145,35.84,2,4
56,16,24.15,1,5
56,119,31.2,1,1
56,88,15.2,2,8
57,138,40.21,1,6
57,25,11.55,1,10
57,16,28.54,3,10
57,143,28.84,3,6
57,14,16.93,2,11
57,46,10.71,2,4
58,88,7.7,1,1
58,3,11.94,2,8
58,15,19.47,1,7
58,120,59.1,3,11
58,146,25.47,3,3
58,35,15.94,2,5
58,147,9.04,1,6
58,190,52.48,2,7
59,149,36.12,1,5
59,194,49.76,1,5
59,200,16.34,2,3
59,185,59.71,1,2
59,175,18.23,3,8
60,94,11.02,2,8
60,86,15.57,3,7
60,32,25.14,3,9
60,46,15.61,3,3
60,15,10.2,2,5
60,24,29.88,2,5
60,195,19.32,1,4
60,58,43.97,2,11
61,161,13.35,2,2
61,159,77.66,3,5
61,134,15.64,2,9
61,179,15.8,2,3
61,168,20.75,3,8
61,28,19.37,2,4
61,191,23.18,3,4
61,65,33.98,3,3
61,5,12.34,2,8
61,121,42.84,2,8
61,88,5.6,2,5
61,148,44.99,1,1
62,80,21.63,1,6
62,177,23.04,1,9
62,164,53.42,1,10
62,183,32.38,3,7
62,108,0.38,3,12
62,90,51.32,2,7
62,78,35.02,2,7
62,10,16.66,1,10
62,100,71.11,3,4
62,92,6.0,3,9
62,104,19.86,1,3
62,159,30.38,3,10
62,44,33.69,2,7
63,160,57.88,3,6
63,141,13.87,3,11
63,185,40.73,1,1
63,47,29.33,2,7
63,43,43.98,1,9
63,144,39.12,2,9
63,102,15.88,2,5
63,121,73.78,1,6
63,112,47.49,1,7
63,158,26.91,1,4
63,66,58.57,2,2
63,173,8.48,1,6
64,19,21.44,3,8
64,197,91.02,2,5
64,68,43.82,2,5
64,129,2.3,2,9
64,23,27.3,1,6
64,142,8.02,1,4
64,168,60.35,3,8
64,22,35.13,3,8
64,26,20.65,1,3
64,57,18.27,2,8
64,3,49.31,3,6
64,198,62.71,2,9
64,120,36.42,2,8
64,122,21.1,1,7
65,78,19.8,1,4
65,148,35.33,2,11
65,195,47.7,1,6
65,177,10.17,3,5
65,97,29.05,2,8
66,34,13.18,3,10
66,100,64.33,1,5
66,134,55.37,1,7
66,22,51.11,3,8
66,31,11.25,1,3
66,128,26.06,1,8
66,174,13.4,1,4
66,133,25.38,3,9
66,8,39.71,1,1
66,194,68.61,1,3
66,29,33.9,1,1
66,48,54.31,3,6
66,195,29.19,2,6
66,155,39.19,3,11
67,40,0.48,2,5
67,46,6.17,2,8
67,139,27.08,1,5
67,19,38.12,2,4
67,148,33.51,3,3
67,55,7.69,2,2
67,134,40.2,2,8
67,175,70.7,2,2
67,123,24.3,2,5
67,45,22.2,3,7
67,11,25.73,1,4
67,10,28.67,2,11
67,117,18.93,2,8
67,73,20.19,3,12
68,194,27.16,3,4
68,14,29.28,3,5
68,49,51.59,3,6
68,61,18.91,3,3
68,85,15.62,3,7
68,95,53.01,3,5
68,59,27.39,2,3
68,158,67.02,2,6
68,46,47.54,2,5
68,140,22.02,3,11
68,171,81.3,2,6
69,178,19.08,3,12
69,78,42.63,2,5
69,169,16.07,3,10
69,112,24.64,1,7
69,2,12.87,3,5
69,39,14.65,2,4
69,186,50.43,3,10
69,121,16.65,2,8
69,62,44.18,1,4
70,121,34.73,2,6
70,30,26.69,2,8
70,40,6.39,2,6
70,138,36.04,1,4
70,187,54.83,1,4
70,116,31.17,3,12
71,100,52.28,1,10
71,24,20.36,3,3
71,158,10.51,1,8
71,87,8.43,2,3
71,123,55.61,1,1
71,1,66.32,3,4
71,126,61.89,1,8
71,59,46.23,2,6
71,101,12.33,2,9
71,63,27.77,1,1
71,199,1.35,1,10
72,181,13.38,2,2
72,174,16.61,2,6
72,70,36.36,1,3
72,140,26.48,3,4
72,133,24.44,1,4
72,155,32.1,3,3
72,74,49.23,2,11
72,11,53.7,3,4
72,35,43.44,2,2
72,124,26.22,1,10
72,156,14.19,3,10
72,152,24.91,1,10
73,187,57.11,3,7
73,114,24.08,1,7
73,103,6.84,1,9
73,85,53.95,3,5
73,80,13.11,2,9
73,164,67.12,3,12
73,136,16.64,1,2
73,155,54.35,2,11
74,98,16.73,3,9
74,88,28.21,2,2
74,182,33.82,2,11
74,116,25.01,1,6
74,100,64.23,2,2
75,146,24.14,2,9
75,89,33.81,2,4
75,164,11.82,3,10
75,30,9.89,1,5
75,68,33.16,2,10
75,55,22.28,1,9
75,140,67.59,2,7
76,47,30.9,1,3
76,156,17.24,1,8
76,23,20.35,2,6
76,95,23.29,2,8
76,122,21.39,3,10
77,37,31.69,1,8
77,197,47.29,3,6
77,200,31.76,2,2
77,146,27.76,1,9
77,123,52.67,3,9
78,130,22.16,1,2
78,94,19.58,3,10
78,168,19.52,1,3
78,98,59.59,2,11
78,186,59.66,3,11
78,181,40.25,1,2
78,38,9.57,1,4
78,138,34.72,3,7
78,44,49.73,2,8
78,165,35.15,3,9
78,128,32.21,1,8
79,191,40.37,1,4
79,22,29.85,1,8
79,38,16.65,1,3
79,86,35.69,2,2
79,58,34.13,1,7
79,131,13.08,1,7
79,139,45.03,3,6
79,106,9.64,1,1
80,195,7.12,3,12
80,92,73.83,1,8
80,31,29.75,3,10
80,164,34.74,3,6
80,55,27.7,3,9
80,199,2.89,2,8
80,115,41.46,1,4
