DateKey,Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,DayName,IsWeekend,IsoWeek
20230202,2023-02-02,2023,1,2,February,2,4,Thursday,False,5
20230203,2023-02-03,2023,1,2,February,3,5,Friday,False,5
20230204,2023-02-04,2023,1,2,February,4,6,Saturday,True,5
20230205,2023-02-05,2023,1,2,February,5,7,Sunday,True,5
20230206,2023-02-06,2023,1,2,February,6,1,Monday,False,6
20230207,2023-02-07,2023,1,2,February,7,2,Tuesday,False,6
20230208,2023-02-08,2023,1,2,February,8,3,Wednesday,False,6
20230209,2023-02-09,2023,1,2,February,9,4,Thursday,False,6
20230210,2023-02-10,2023,1,2,February,10,5,Friday,False,6
20230211,2023-02-11,2023,1,2,February,11,6,Saturday,True,6
20230212,2023-02-12,2023,1,2,February,12,7,Sunday,True,6
20230213,2023-02-13,2023,1,2,February,13,1,Monday,False,7
20230214,2023-02-14,2023,1,2,February,14,2,Tuesday,False,7
20230215,2023-02-15,2023,1,2,February,15,3,Wednesday,False,7
20230216,2023-02-16,2023,1,2,February,16,4,Thursday,False,7
20230217,2023-02-17,2023,1,2,February,17,5,Friday,False,7
20230218,2023-02-18,2023,1,2,February,18,6,Saturday,True,7
20230219,2023-02-19,2023,1,2,February,19,7,Sunday,True,7
20230220,2023-02-20,2023,1,2,February,20,1,Monday,False,8
20230221,2023-02-21,2023,1,2,February,21,2,Tuesday,False,8
20230222,2023-02-22,2023,1,2,February,22,3,Wednesday,False,8
20230223,2023-02-23,2023,1,2,February,23,4,Thursday,False,8
20230224,2023-02-24,2023,1,2,February,24,5,Friday,False,8
20230225,2023-02-25,2023,1,2,February,25,6,Saturday,True,8
20230226,2023-02-26,2023,1,2,February,26,7,Sunday,True,8
20230227,2023-02-27,2023,1,2,February,27,1,Monday,False,9
20230228,2023-02-28,2023,1,2,February,28,2,Tuesday,False,9
20230301,2023-03-01,2023,1,3,March,1,3,Wednesday,False,9
20230302,2023-03-02,2023,1,3,March,2,4,Thursday,False,9
20230303,2023-03-03,2023,1,3,March,3,5,Friday,False,9
20230304,2023-03-04,2023,1,3,March,4,6,Saturday,True,9
20230305,2023-03-05,2023,1,3,March,5,7,Sunday,True,9
20230306,2023-03-06,2023,1,3,March,6,1,Monday,False,10
20230307,2023-03-07,2023,1,3,March,7,2,Tuesday,False,10
20230308,2023-03-08,2023,1,3,March,8,3,Wednesday,False,10
20230309,2023-03-09,2023,1,3,March,9,4,Thursday,False,10
20230310,2023-03-10,2023,1,3,March,10,5,Friday,False,10
20230311,2023-03-11,2023,1,3,March,11,6,Saturday,True,10
20230312,2023-03-12,2023,1,3,March,12,7,Sunday,True,10
20230313,2023-03-13,2023,1,3,March,13,1,Monday,False,11
20230314,2023-03-14,2023,1,3,March,14,2,Tuesday,False,11
20230315,2023-03-15,2023,1,3,March,15,3,Wednesday,False,11
20230316,2023-03-16,2023,1,3,March,16,4,Thursday,False,11
20230317,2023-03-17,2023,1,3,March,17,5,Friday,False,11
20230318,2023-03-18,2023,1,3,March,18,6,Saturday,True,11
20230319,2023-03-19,2023,1,3,March,19,7,Sunday,True,11
20230320,2023-03-20,2023,1,3,March,20,1,Monday,False,12
20230321,2023-03-21,2023,1,3,March,21,2,Tuesday,False,12
20230322,2023-03-22,2023,1,3,March,22,3,Wednesday,False,12
20230323,2023-03-23,2023,1,3,March,23,4,Thursday,False,12
20230324,2023-03-24,2023,1,3,March,24,5,Friday,False,12
20230325,2023-03-25,2023,1,3,March,25,6,Saturday,True,12
20230326,2023-03-26,2023,1,3,March,26,7,Sunday,True,12
20230327,2023-03-27,2023,1,3,March,27,1,Monday,False,13
20230328,2023-03-28,2023,1,3,March,28,2,Tuesday,False,13
20230329,2023-03-29,2023,1,3,March,29,3,Wednesday,False,13
20230330,2023-03-30,2023,1,3,March,30,4,Thursday,False,13
20230331,2023-03-31,2023,1,3,March,31,5,Friday,False,13
