TradeKey,DateKey,ItemKey,SellerKey,BuyerSellerKey,Quantity,UnitPrice,TotalPrice
147,20230325,179,121,194,14,6.19,86.66
148,20230329,15,366,364,16,9400.23,150403.68
149,20230327,4,51,328,5,11436.84,57184.2
150,20230109,89,345,399,2,22.3,44.6
151,20230219,12,389,75,19,520.93,9897.67
152,20230323,176,109,20,2,44.66,89.32
153,20230220,115,330,24,17,3744.25,63652.25
154,20230117,55,224,5,4,14.53,58.12
155,20230119,75,232,227,19,5019.7,95374.3
156,20230214,178,142,253,16,370.86,5933.76
157,20230201,49,224,232,13,111.86,1454.18
158,20230105,28,233,57,9,14178.56,127607.04
159,20230208,26,250,60,20,47.5,950.0
160,20230210,126,122,128,10,76408.1,764081.0
161,20230304,78,57,335,4,7.65,30.6
162,20230324,124,184,172,19,23.45,445.55
163,20230112,64,278,219,1,5903.33,5903.33
164,20230309,151,53,396,16,16.43,262.88
165,20230323,73,352,191,16,43.69,699.04
166,20230119,179,11,8,14,4.48,62.72
167,20230206,17,45,128,12,4026.46,48317.52
168,20230201,165,99,368,17,28.81,489.77
169,20230131,188,190,374,7,537.56,3762.92
170,20230319,95,276,353,7,879.04,6153.28
171,20230108,36,378,176,1,93.21,93.21
172,20230124,23,89,87,19,661.57,12569.83
173,20230208,73,224,73,4,26.27,105.08
174,20230326,114,114,118,6,1035.02,6210.12
175,20230113,6,60,337,3,12.97,38.91
176,20230127,149,82,107,14,2.03,28.42
177,20230302,180,385,271,17,322.73,5486.41
178,20230305,115,50,53,9,4216.65,37949.85
179,20230317,75,127,218,4,6276.78,25107.12
180,20230126,133,282,45,5,63.56,317.8
181,20230226,106,41,364,15,162.91,2443.65
182,20230210,78,328,304,1,8.01,8.01
183,20230328,101,267,352,2,17.89,35.78
184,20230312,35,361,144,9,113.02,1017.18
185,20230127,16,187,298,20,0.82,16.4
186,20230225,183,165,298,2,27.54,55.08
187,20230325,183,247,232,19,26.19,497.61
188,20230325,39,198,261,20,180.86,3617.2
189,20230318,167,241,373,3,1.74,5.22
190,20230116,124,5,220,19,23.84,452.96
191,20230210,108,212,340,17,324.42,5515.14
192,20230128,103,290,327,10,618.08,6180.8
193,20230101,103,121,332,14,1173.13,16423.82
194,20230224,139,163,51,1,7439.15,7439.15
195,20230312,55,248,354,18,23.71,426.78
196,20230210,82,133,270,17,178.68,3037.56
197,20230324,105,320,64,10,7481.81,74818.1
198,20230217,113,160,172,5,7.6,38.0
199,20230313,70,151,73,3,4.89,14.67
200,20230102,105,284,349,16,7250.99,116015.84
201,20230212,49,104,334,1,86.23,86.23
202,20230126,59,97,96,9,26581.23,239231.07
203,20230208,175,86,196,3,6108.71,18326.13
204,20230315,172,249,132,18,59.07,1063.26
205,20230121,193,124,232,10,23.94,239.4
206,20230315,165,230,357,13,55.08,716.04
207,20230320,1,10,22,16,124.7,1995.2
208,20230125,93,307,351,3,64.15,192.45
209,20230214,18,77,133,7,238.64,1670.48
210,20230212,151,260,166,16,13.95,223.2
211,20230112,113,217,66,13,7.23,93.99
212,20230324,105,353,261,6,7346.26,44077.56
213,20230302,7,239,309,16,487.73,7803.68
214,20230303,98,11,321,11,1917.55,21093.05
215,20230309,186,85,99,16,61420.09,982721.44
216,20230115,71,231,27,16,5458.17,87330.72
217,20230308,75,11,115,17,6493.12,110383.04
218,20230120,35,26,67,13,61.41,798.33
219,20230319,169,20,275,16,61.29,980.64
220,20230203,89,10,370,12,21.82,261.84
221,20230319,153,329,395,19,73686.14,1400036.66
222,20230227,35,365,340,16,65.91,1054.56
223,20230206,110,119,170,19,833.77,15841.63
224,20230210,178,61,37,1,370.64,370.64
225,20230222,111,148,369,9,2.47,22.23
226,20230102,194,254,78,13,18.51,240.63
227,20230115,143,9,302,18,7857.71,141438.78
228,20230311,107,69,223,6,233.15,1398.9
229,20230215,127,102,95,14,216.79,3035.06
230,20230219,96,326,250,17,327.81,5572.77
231,20230210,169,76,293,7,32.95,230.65
232,20230329,101,253,352,14,16.24,227.36
233,20230216,186,304,13,1,55031.74,55031.74
234,20230321,77,42,234,19,16182.66,307470.54
235,20230203,197,218,146,6,295.5,1773.0
236,20230130,23,63,69,5,807.66,4038.3
237,20230118,35,296,6,18,61.13,1100.34
238,20230105,50,52,38,4,947.17,3788.68
239,20230224,5,294,262,16,56.67,906.72
240,20230215,65,267,327,10,7.61,76.1
241,20230213,183,218,306,10,25.17,251.7
242,20230202,8,31,151,10,2.37,23.7
243,20230206,73,1,156,16,29.63,474.08
244,20230302,158,294,259,12,18.89,226.68
245,20230127,35,163,324,19,67.3,1278.7
246,20230103,172,93,102,17,30.92,525.64
247,20230219,110,270,314,19,978.55,18592.45
248,20230217,144,132,133,9,2.81,25.29
249,20230211,106,56,95,15,172.05,2580.75
250,20230219,44,334,289,12,36.6,439.2
251,20230109,27,287,282,11,33.42,367.62
252,20230221,162,31,110,9,147.37,1326.33
253,20230225,194,20,107,16,20.42,326.72
254,20230312,125,324,64,15,268.18,4022.7
255,20230323,96,131,96,10,858.7,8587.0
256,20230304,35,395,126,19,69.3,1316.7
257,20230211,59,105,240,13,28643.89,372370.57
258,20230130,179,292,65,1,5.13,5.13
259,20230122,72,374,192,12,11346.73,136160.76
260,20230121,90,149,84,15,39.28,589.2
261,20230330,28,245,247,19,14973.32,284493.08
262,20230219,30,218,318,9,1521.84,13696.56
263,20230319,60,316,175,15,2399.73,35995.95
264,20230104,64,375,121,16,5644.56,90312.96
265,20230130,119,231,376,20,73.89,1477.8
266,20230128,1,129,289,11,70.42,774.62
267,20230211,41,363,24,16,9898.41,158374.56
268,20230303,121,2,336,19,2165.71,41148.49
269,20230312,83,210,73,4,23.24,92.96
270,20230205,31,119,49,9,200.94,1808.46
271,20230311,82,171,73,16,133.57,2137.12
272,20230102,35,257,389,14,65.03,910.42
273,20230218,116,51,380,17,878.27,14930.59
274,20230204,89,110,276,20,21.58,431.6
275,20230304,198,296,347,18,399.75,7195.5
276,20230214,25,159,84,17,84.52,1436.84
277,20230328,112,322,6,18,16256.42,292615.56
278,20230310,86,97,125,2,23868.84,47737.68
279,20230305,174,321,80,16,84.77,1356.32
280,20230327,149,36,64,2,2.46,4.92
281,20230108,152,116,34,19,20.43,388.17
282,20230208,135,303,298,9,349.65,3146.85
283,20230301,68,160,69,16,104.15,1666.4
284,20230115,89,104,61,15,21.97,329.55
285,20230207,130,323,167,16,92.02,1472.32
286,20230131,195,347,273,5,3708.13,18540.65
287,20230130,143,195,284,12,10129.96,121559.52
288,20230121,69,323,374,12,11826.52,141918.24
289,20230317,190,354,90,11,5.57,61.27
290,20230124,85,240,304,2,84.21,168.42
291,20230215,118,6,400,16,16.48,263.68
292,20230206,6,8,117,7,12.29,86.03
293,20230222,182,26,108,4,20.99,83.96
294,20230330,102,282,61,6,11.09,66.54
295,20230310,59,43,152,5,27926.77,139633.85
296,20230207,86,297,92,4,18371.78,73487.12
297,20230218,168,66,287,17,30.13,512.21
298,20230202,75,389,258,17,5657.51,96177.67
299,20230329,79,382,145,5,158.11,790.55
300,20230209,184,236,133,4,9.55,38.2
301,20230221,37,114,176,18,11.93,214.74
302,20230108,83,119,69,14,28.3,396.2
303,20230131,47,201,284,9,117.2,1054.8
304,20230319,44,189,312,13,123.83,1609.79
305,20230226,181,279,89,16,45839.14,733426.24
306,20230107,169,135,311,15,38.81,582.15
307,20230306,145,292,70,15,1342.86,20142.9
308,20230309,149,271,230,7,2.13,14.91
309,20230214,53,395,155,2,1729.04,3458.08
310,20230314,174,325,90,12,92.37,1108.44
311,20230217,192,113,300,3,2075.65,6226.95
312,20230208,174,254,166,1,102.89,102.89
313,20230105,1,203,303,2,63.33,126.66
314,20230107,88,8,336,4,35.68,142.72
315,20230104,17,353,11,15,3996.23,59943.45
316,20230212,5,29,88,14,63.4,887.6
317,20230308,77,383,377,3,16595.01,49785.03
318,20230114,115,85,135,14,3534.13,49477.82
319,20230325,176,173,136,4,47.11,188.44
320,20230328,40,293,223,16,40.6,649.6
321,20230318,51,382,362,12,923.23,11078.76
322,20230103,106,133,81,9,145.88,1312.92
323,20230223,123,248,268,4,3.92,15.68
324,20230328,59,351,153,18,28181.84,507273.12
325,20230121,158,287,34,13,25.34,329.42
326,20230311,157,211,63,19,1850.5,35159.5
327,20230326,172,345,111,14,36.7,513.8
328,20230205,177,238,14,14,45.29,634.06
329,20230301,183,220,28,19,30.07,571.33
330,20230329,17,47,256,17,3658.27,62190.59
331,20230110,100,176,283,10,35.18,351.8
332,20230103,28,321,76,6,12748.24,76489.44
333,20230330,197,155,280,14,289.62,4054.68
334,20230205,15,133,14,7,9413.23,65892.61
335,20230130,197,203,320,6,284.74,1708.44
336,20230101,152,236,113,5,19.14,95.7
337,20230203,134,56,48,6,1547.99,9287.94
338,20230218,38,169,244,10,130.91,1309.1
339,20230103,123,183,195,18,3.25,58.5
340,20230130,185,75,198,3,1845.03,5535.09
341,20230208,5,269,115,13,55.45,720.85
342,20230214,27,301,130,9,36.0,324.0
343,20230110,137,185,300,15,195.82,2937.3
344,20230123,198,216,17,10,384.05,3840.5
345,20230212,106,115,177,4,175.51,702.04
346,20230323,178,288,106,2,334.65,669.3
347,20230103,181,174,145,1,35674.71,35674.71
348,20230301,154,341,292,13,1210.33,15734.29
349,20230207,156,161,255,4,60.13,240.52
350,20230318,163,124,145,13,165.56,2152.28
351,20230213,63,140,52,1,1713.53,1713.53
352,20230324,168,397,372,5,42.98,214.9
353,20230123,104,13,16,17,641.92,10912.64
354,20230112,55,269,307,18,13.07,235.26
355,20230204,65,34,79,10,7.55,75.5
356,20230201,1,241,7,10,72.75,727.5
357,20230120,115,94,177,19,3434.6,65257.4
358,20230128,51,164,383,3,580.51,1741.53
359,20230216,138,352,364,9,2.49,22.41
360,20230202,183,223,166,11,24.84,273.24
361,20230115,195,362,223,14,3501.94,49027.16
362,20230324,105,255,91,8,8081.05,64648.4
363,20230114,87,17,26,1,526.84,526.84
364,20230131,187,57,38,14,1026.6,14372.4
365,20230222,22,107,121,20,2082.54,41650.8
366,20230126,118,280,87,11,13.52,148.72
367,20230304,46,15,105,17,446.2,7585.4
368,20230107,22,316,117,11,2121.07,23331.77
369,20230128,61,215,394,19,566.51,10763.69
370,20230328,168,245,68,1,29.01,29.01
371,20230227,182,94,148,2,23.21,46.42
372,20230121,27,329,319,10,35.0,350.0
373,20230123,159,97,347,18,15364.46,276560.28
374,20230320,132,65,394,6,5798.47,34790.82
375,20230313,35,146,89,14,117.17,1640.38
376,20230313,123,323,310,1,4.12,4.12
377,20230318,4,384,341,15,12142.94,182144.1
378,20230108,113,281,322,17,6.9,117.3
379,20230213,11,152,177,18,40.75,733.5
380,20230313,29,223,213,12,72.03,864.36
381,20230129,69,21,380,12,13522.51,162270.12
382,20230330,123,204,371,20,4.12,82.4
383,20230320,66,262,156,3,8774.03,26322.09
384,20230207,152,281,332,16,26.85,429.6
385,20230331,64,33,62,5,5684.07,28420.35
386,20230307,190,90,365,4,5.08,20.32
387,20230129,24,173,115,6,77.82,466.92
388,20230218,22,259,203,9,2440.61,21965.49
389,20230318,121,148,119,16,2518.39,40294.24
390,20230331,149,115,221,6,2.12,12.72
391,20230117,7,156,322,8,371.29,2970.32
392,20230224,58,235,150,3,2.28,6.84
393,20230309,75,114,385,16,6553.77,104860.32
394,20230228,136,355,30,15,288.1,4321.5
395,20230315,149,153,389,10,2.07,20.7
396,20230305,133,334,387,3,66.15,198.45
397,20230227,18,245,167,18,245.35,4416.3
398,20230317,59,11,209,17,28560.38,485526.46
399,20230205,143,284,219,20,10654.32,213086.4
400,20230219,40,347,400,15,22.23,333.45
401,20230219,65,279,251,20,6.52,130.4
402,20230216,29,72,262,16,79.31,1268.96
403,20230121,72,184,233,7,11702.4,81916.8
404,20230216,45,78,142,13,57.81,751.53
405,20230211,178,353,324,2,354.93,709.86
406,20230122,87,85,21,6,497.75,2986.5
407,20230102,126,180,210,15,70125.22,1051878.3
408,20230322,144,54,385,15,3.25,48.75
409,20230121,48,127,289,7,316.03,2212.21
410,20230212,70,160,134,1,2.87,2.87
411,20230217,151,111,234,11,12.2,134.2
412,20230115,171,152,90,17,46.22,785.74
413,20230211,39,392,333,20,104.72,2094.4
414,20230111,186,227,11,4,55720.27,222881.08
415,20230101,163,192,203,3,171.97,515.91
416,20230128,127,179,244,16,183.38,2934.08
417,20230316,70,34,96,2,4.11,8.22
418,20230109,119,299,380,18,75.26,1354.68
419,20230311,19,264,70,1,5637.74,5637.74
420,20230115,57,213,391,20,49.32,986.4
421,20230323,27,220,140,13,36.4,473.2
422,20230211,121,249,10,13,2389.26,31060.38
423,20230223,36,273,6,6,97.47,584.82
424,20230213,183,318,201,19,30.0,570.0
425,20230201,139,128,158,12,6902.64,82831.68
426,20230318,87,11,305,3,834.69,2504.07
427,20230326,47,277,104,2,118.61,237.22
428,20230217,196,279,265,17,80.43,1367.31
429,20230308,73,106,169,11,37.7,414.7
430,20230222,144,294,153,2,2.93,5.86
431,20230307,79,369,113,5,142.9,714.5
432,20230108,178,161,177,16,355.06,5680.96
433,20230314,175,233,27,20,6634.13,132682.6
434,20230326,153,70,41,11,80332.92,883662.12
435,20230131,3,168,48,20,278.78,5575.6
436,20230224,177,123,298,9,52.39,471.51
437,20230130,92,335,23,16,19.51,312.16
438,20230223,194,89,339,18,19.89,358.02
439,20230217,97,366,160,2,30.84,61.68
440,20230126,123,18,286,2,3.81,7.62
441,20230228,125,258,97,17,319.69,5434.73
442,20230121,86,48,218,7,22178.99,155252.93
443,20230307,14,192,367,13,106.84,1388.92
444,20230319,194,282,210,20,20.71,414.2
445,20230127,92,390,400,8,20.32,162.56
446,20230331,122,95,12,18,13592.58,244666.44
447,20230216,23,65,91,14,796.95,11157.3
448,20230129,57,271,50,4,51.84,207.36
449,20230317,141,324,288,17,33.16,563.72
450,20230220,186,335,167,17,53652.13,912086.21
451,20230201,43,187,396,19,5513.17,104750.23
452,20230310,45,130,45,20,63.54,1270.8
453,20230314,47,375,267,7,111.62,781.34
454,20230120,143,291,116,9,7728.7,69558.3
455,20230106,34,158,126,3,17.01,51.03
456,20230221,174,282,127,15,36.03,540.45
457,20230226,34,322,220,16,19.86,317.76
458,20230329,25,73,114,19,87.9,1670.1
459,20230224,144,370,226,3,3.0,9.0
460,20230212,35,112,236,13,67.18,873.34
461,20230108,55,21,386,9,16.91,152.19
462,20230129,32,86,368,11,223.09,2453.99
463,20230307,125,57,177,14,281.41,3939.74
464,20230211,176,162,137,15,38.7,580.5
465,20230316,47,241,353,7,90.85,635.95
466,20230107,88,45,282,12,40.47,485.64
467,20230123,85,173,364,5,96.1,480.5
468,20230310,35,358,352,15,99.11,1486.65
469,20230319,139,259,181,2,8957.34,17914.68
470,20230127,138,108,8,2,2.4,4.8
471,20230124,139,145,354,17,7557.39,128475.63
472,20230319,137,125,172,4,182.63,730.52
473,20230102,138,316,161,7,2.5,17.5
474,20230317,35,187,174,5,114.93,574.65
475,20230311,17,206,337,18,4098.3,73769.4
476,20230211,62,300,114,19,35.18,668.42
477,20230225,1,151,296,9,68.87,619.83
478,20230331,68,144,29,2,111.67,223.34
479,20230226,125,345,70,11,267.14,2938.54
480,20230129,127,66,209,15,215.48,3232.2
481,20230201,89,172,182,7,19.81,138.67
482,20230304,173,33,378,1,22.25,22.25
483,20230302,172,165,337,17,41.17,699.89
484,20230331,153,356,336,1,64086.7,64086.7
485,20230306,172,61,313,5,64.79,323.95
486,20230309,102,5,326,5,12.32,61.6
487,20230208,58,18,237,15,1.84,27.6
488,20230122,197,251,117,1,257.49,257.49
489,20230327,181,241,100,13,48491.93,630395.09
490,20230107,100,398,128,20,39.4,788.0
491,20230115,168,79,399,4,32.11,128.44
492,20230308,67,105,122,4,82.33,329.32
493,20230106,64,58,5,3,5299.65,15898.95
494,20230203,157,320,339,18,2000.81,36014.58
495,20230331,49,215,159,6,84.97,509.82
496,20230330,54,114,84,7,12.7,88.9
497,20230312,187,131,395,15,1388.1,20821.5
498,20230310,166,36,327,19,32.37,615.03
499,20230318,52,120,352,6,84.05,504.3
500,20230314,104,143,82,15,592.9,8893.5
501,20230111,88,123,285,7,37.61,263.27
502,20230106,37,315,222,17,12.4,210.8
503,20230306,100,35,135,18,63.85,1149.3
504,20230320,27,367,65,5,40.79,203.95
505,20230223,137,170,105,17,175.85,2989.45
506,20230219,188,50,38,10,224.07,2240.7
507,20230307,11,11,130,17,53.41,907.97
508,20230304,132,133,378,15,3263.88,48958.2
509,20230207,65,248,10,7,6.59,46.13
510,20230215,113,56,318,8,7.97,63.76
511,20230327,49,367,323,2,135.47,270.94
512,20230211,150,232,284,9,4.45,40.05
513,20230102,46,312,360,6,443.44,2660.64
514,20230122,184,256,76,15,10.07,151.05
515,20230131,81,48,37,8,22.23,177.84
516,20230206,27,323,202,11,33.8,371.8
517,20230102,55,144,73,20,14.24,284.8
518,20230215,155,27,361,15,92.6,1389.0
519,20230128,35,58,59,2,62.56,125.12
520,20230102,72,142,71,15,11227.83,168417.45
521,20230217,138,226,77,9,2.26,20.34
522,20230120,68,368,297,14,110.73,1550.22
523,20230228,119,164,133,15,68.35,1025.25
524,20230303,111,167,237,2,1.73,3.46
525,20230208,138,62,185,2,2.4,4.8
526,20230301,164,47,139,15,56.54,848.1
527,20230210,172,138,35,10,35.25,352.5
528,20230219,148,288,324,9,110.77,996.93
529,20230107,123,170,39,17,3.93,66.81
530,20230216,53,247,278,13,1254.83,16312.79
531,20230205,33,90,282,20,45.27,905.4
532,20230129,9,26,193,9,12024.9,108224.1
533,20230131,105,134,52,13,8001.97,104025.61
534,20230115,55,269,32,2,14.13,28.26
535,20230331,92,313,257,19,17.78,337.82
536,20230305,68,74,177,7,123.48,864.36
537,20230107,98,316,102,18,2121.44,38185.92
538,20230306,9,157,86,13,11165.37,145149.81
539,20230315,159,288,15,4,16021.01,64084.04
540,20230217,88,9,90,16,37.64,602.24
541,20230304,125,302,147,15,269.41,4041.15
542,20230305,7,183,267,1,601.69,601.69
543,20230322,123,241,250,3,3.63,10.89
544,20230315,51,252,328,6,888.59,5331.54
545,20230208,91,112,25,1,2766.71,2766.71
546,20230104,57,53,337,6,51.28,307.68
547,20230202,168,239,396,9,25.39,228.51
548,20230205,163,115,378,12,190.55,2286.6
549,20230224,130,334,315,12,92.21,1106.52
550,20230312,181,262,139,7,40811.95,285683.65
551,20230111,61,277,260,7,487.0,3409.0
552,20230212,45,326,348,11,62.41,686.51
553,20230128,113,277,222,8,3.77,30.16
554,20230312,28,42,129,19,17700.7,336313.3
555,20230209,19,273,119,1,4091.8,4091.8
556,20230205,92,317,134,14,19.46,272.44
557,20230114,54,87,270,11,14.4,158.4
558,20230108,163,311,275,6,188.8,1132.8
559,20230329,169,36,147,13,34.1,443.3
560,20230112,67,308,344,10,79.42,794.2
561,20230104,75,169,251,5,6226.25,31131.25
562,20230107,139,35,244,6,7861.81,47170.86
563,20230328,68,285,7,19,122.25,2322.75
564,20230115,83,65,280,5,23.47,117.35
565,20230309,21,104,127,15,20.53,307.95
566,20230105,83,397,197,18,24.09,433.62
567,20230324,159,86,355,11,16248.25,178730.75
568,20230227,152,160,24,12,13.13,157.56
569,20230122,75,91,130,10,6237.32,62373.2
570,20230220,153,106,241,4,62244.63,248978.52
571,20230320,60,341,250,10,2429.33,24293.3
572,20230318,64,221,42,12,6688.24,80258.88
573,20230124,128,62,323,19,226.34,4300.46
574,20230116,15,163,156,9,8565.01,77085.09
575,20230227,39,108,393,19,67.57,1283.83
576,20230307,112,245,69,11,16088.32,176971.52
577,20230306,58,166,56,17,2.35,39.95
578,20230217,11,356,380,8,32.82,262.56
579,20230320,151,198,341,8,17.57,140.56
580,20230305,116,205,149,19,1159.42,22028.98
581,20230203,90,279,41,18,36.94,664.92
582,20230104,157,276,138,19,1780.18,33823.42
583,20230119,46,212,366,19,418.58,7953.02
584,20230106,111,290,271,19,2.11,40.09
585,20230111,189,331,304,13,3.69,47.97
586,20230312,70,321,77,7,4.56,31.92
587,20230303,39,356,279,13,59.43,772.59
588,20230213,195,370,41,6,3907.1,23442.6
589,20230326,163,242,271,20,182.76,3655.2
590,20230227,42,209,287,12,6431.01,77172.12
591,20230115,176,197,385,14,42.55,595.7
592,20230301,34,328,52,6,20.85,125.1
593,20230217,157,347,23,14,1914.64,26804.96
594,20230302,139,13,335,3,8143.82,24431.46
595,20230127,111,261,74,15,2.03,30.45
596,20230222,129,254,270,8,12376.4,99011.2
597,20230319,194,183,271,9,19.21,172.89
598,20230217,140,86,234,4,183.85,735.4
599,20230123,142,226,124,11,58.97,648.67
600,20230123,63,158,144,7,1440.34,10082.38
601,20230323,50,132,83,3,1230.52,3691.56
602,20230329,65,390,248,10,6.71,67.1
603,20230122,115,121,344,5,3406.31,17031.55
604,20230112,38,345,238,15,165.31,2479.65
605,20230326,79,354,284,8,156.81,1254.48
606,20230315,83,171,2,3,23.59,70.77
607,20230215,144,335,71,17,3.2,54.4
608,20230113,45,49,104,20,73.72,1474.4
609,20230208,169,313,240,12,34.89,418.68
